A functional integral point of view|http://projecteuclid.org/euclid.cmp/1104159542|1907|7|http://scholar.google.com/scholar?cites=16906330269825305016&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=16906330269825305016&hl=en&num=20&as_sdt=0,5|1981
Review of particle physics|http://www.sciencedirect.com/science/article/pii/S0370269308008435|7377|25|http://scholar.google.com/scholar?cites=4215890609753782758&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=4215890609753782758&hl=en&num=20&as_sdt=0,5|2008
Cited by 6511|http://scholar.google.com/scholar?cites=9450086800060785278&as_sdt=2005&sciodt=0,5&hl=en&num=20|6511|10|http://scholar.google.com/scholar?cites=9450086800060785278&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=9450086800060785278&hl=en&num=20&as_sdt=0,5|2004
Review of particle physics|http://iopscience.iop.org/0954-3899/37/7A/075021|12905|33|http://scholar.google.com/scholar?cites=2576254620197471737&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=2576254620197471737&hl=en&num=20&as_sdt=0,5|2010
The physics of liquid crystals|http://pdfserv.aip.org/PHTOAD/vol_48/iss_8/70_1.pdf|7681|6|http://scholar.google.com/scholar?cites=5223158629729729303&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=5223158629729729303&hl=en&num=20&as_sdt=0,5|1995
Review of particle physics|http://eprints.soton.ac.uk/57292/|5335|3|http://scholar.google.com/scholar?cites=16212134684069079587&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=16212134684069079587&hl=en&num=20&as_sdt=0,5|2002
The physics of liquid crystals|http://adsabs.harvard.edu/abs/1975PhT....28f..54D|5815|6|http://scholar.google.com/scholar?cites=14459978023529946412&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=14459978023529946412&hl=en&num=20&as_sdt=0,5|1975
Introduction to solid state physics|http://s2.wudisk.com/filestores/013%E9%AB%98%E7%AD%89%E6%95%99%E8%82%B2/007%E7%90%86%E5%AD%A6/007%E7%90%86%E5%AD%A619/%E5%9B%BA%E4%BD%93%E7%89%A9%E7%90%86%E5%AF%BC%E8%AE%BA%20%E8%8B%B1%E6%96%87%E7%89%88%E7%AD%94%E6%A1%88kittel%E8%91%97.pdf|19634|18|http://scholar.google.com/scholar?cites=11860372137384116238&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=11860372137384116238&hl=en&num=20&as_sdt=0,5|1996
Introduction to solid state physics|http://tocs.ulb.tu-darmstadt.de/125610068.pdf|7862|6|http://scholar.google.com/scholar?cites=12814578752197171149&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=12814578752197171149&hl=en&num=20&as_sdt=0,5|1986
Introduction to plasma physics and controlled fusion/Francis F.|http://www.physics.usyd.edu.au/ugrad/sphys_2005/sphys_webct/3021_plasma_closed_reserve.pdf|2700|8|http://scholar.google.com/scholar?cites=5721931523501545367&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=5721931523501545367&hl=en&num=20&as_sdt=0,5|1984
Stochastic problems in physics and astronomy|http://rmp.aps.org/abstract/RMP/v15/i1/p1_1|7227|7|http://scholar.google.com/scholar?cites=16776527354410500979&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=16776527354410500979&hl=en&num=20&as_sdt=0,5|1943
High-energy-physics event generation with PYTHIA 6.1|http://www.sciencedirect.com/science/article/pii/S0010465500002368|3625|10|http://scholar.google.com/scholar?cites=17203337229636231694&as_sdt=2005&sciodt=0,5&hl=en&num=20|http://scholar.google.com/scholar?cluster=17203337229636231694&hl=en&num=20&as_sdt=0,5|2001
